Text,pos,neg
Upgraded: $DHI $ROST $GWB $ROSE $YUM $TRUE $SSI $LOW $MOS $PETM $PDCO $SNE $RYN $AKRX $AMKR http://t.co/TRx9EnjwT5 #nyse #finance #dow #spy,1,0
CORRUPT WALL STREET STOCK MARKET COLLAPSES TO NEVER RECOUPERATE http://t.co/Ol4CO2Pyec #wallstreet #nyse #dollar #money #stocks #finance,0,1
High Frequency Trading: Just Another Evolutionary Abuse Against Individual Investors http://t.co/c73ivay6CS #NYSE,0,1
High Frequency Trading: Just Another Evolutionary Abuse Against Individual Investors http://t.co/EMALhbbA26 #NYSE,0,1
"RT @homelessdave0: Iran #Nuclear Deadline Approaches
http://t.co/V2o5Ew2ewk
#OIL#LNG#GENTRIFICATION#DTES
"RT @homelessdave0: Iran #Nuclear Deadline Approaches
http://t.co/V2o5Ew2ewk
#OIL#LNG#GENTRIFICATION#DTES
"RT @homelessdave0: Iran #Nuclear Deadline Approaches
http://t.co/V2o5Ew2ewk
#OIL#LNG#GENTRIFICATION#DTES
"Iran #Nuclear Deadline Approaches
http://t.co/V2o5Ew2ewk
#OIL#LNG#GENTRIFICATION#DTES
My Full trade diary for this great #Swing #Trade on $EXC - fantastic 3.4% profit on my trading account balance http://t.co/CbsHUBIw9p #nyse,1,0
Great Western reports improved profit http://t.co/WgHe9Pc6Ss #NYSE,1,0
Great Western reports improved profit http://t.co/tTABFYI4pe #NYSE,1,0
list of #biotech companies who have raised the most money via secondaries since 2010: http://t.co/FvpnWyBHpr #Pharma #Nasdaq #NYSE,1,0
All-Time Highs: $AON $BRFS $BPL $MPC $ACMP $FL $KEYS $DLPH $HON $EEP $SBAC $SXL $ADM $SWFT $IPXL http://t.co/Vv2VEnpBuv #finance #mkt #nyse,1,0
#NYSE #stocks : #Markets: Wash Real Estate Investment : shaky 2015 growth &amp; profits forecast. http://t.co/J4ldPqI9zL,0,1
European Union Wants To Bust Up Google http://t.co/971SLs4huV $GOOG $GOOGL #Google #Stocks #Investing #NYSE #NASDAQ,0,1
RBS And Software Firm Settle Over IT Failure http://t.co/Af0bbRb7CE #NYSE,0,1
RBS And Software Firm Settle Over IT Failure http://t.co/OhBnst3IoU #NYSE,0,1
"#Trading Indicators  End of the trend? http://t.co/fqvfLSqee3
RT @crazycanuck655: Amazon Leases Entire Manhattan Building http://t.co/E1ZOoUvwC1 $AMZN #newyork #NYSE #NASDAQ #Invest,1,0
"Alibaba Group - Top New Position For Hedge Funds, Apple Still First http://t.co/DnY1Q5Ot2V $BABA $AAPL #Stocks #Invest #NYSE #NASDAQ #mkt",1,0
Amazon Leases Entire Manhattan Building http://t.co/E1ZOoUvwC1 $AMZN #newyork #NYSE #NASDAQ #Invest,1,0
"To start the week, percentage of #stocks above their #200-day-sma are: 55% on the #NYSE, 49% on the #Nasdaq, 43% on the #TSE ...",1,0
"#GraphiteStocks Antitrust and competition  the EU weekly briefing (17 November 2014): 
RT @HotKeyTrading: Downgraded: $DCI $PDCO $EJ $ED $SNCR $WU $INGR $BHI $HIMX $MAR $HAL $ORLY $HL $WMT $SCLN http://t.co/Vv2VEnpBuv #mkt #ny,0,1
"#GraphiteStocks Focus on Research: 3-D printing brings new dimension to manufacturing: 
Foc... http://t.co/HX2KuVOEUC #NYSE #NASDAQ #DOW",1,0
"RT @daf_tv: Opening Bell: NASDAQ 4.279 +0,88% #nyse #dow #wallstreet #market #finance #dax #boerse #chart #trade #aktie #nasdaq #dollar #op",1,0
"RT @daf_tv: Opening Bell: Dow Jones 17.872 +0,87% #nyse #dow #wallstreet #market #finance #dax #boerse #chart #trading #aktie #dollar #open",1,0
India Nifty Futures Gain After China Rate Cut Spurs Asian Stocks http://t.co/YiGgEo1MEG #NYSE,1,0
India Nifty Futures Gain After China Rate Cut Spurs Asian Stocks http://t.co/oYx1k5cJHs #NYSE,1,0
Top Expert Consensus for $FDO is Moderate Buy https://t.co/dsRCLaAnzJ #NYSE #stocks #FDO,1,0
"Swap funds allow diversification, lower taxes http://t.co/MTG4rJKjZx #NYSE",1,0
"Swap funds allow diversification, lower taxes http://t.co/UDsiLQFdwu #NYSE",1,0
All-Time Highs: $AON $BRFS $BPL $MPC $ACMP $FL $KEYS $DLPH $HON $EEP $SBAC $SXL $ADM $SWFT $IPXL http://t.co/Vv2VEnpBuv #swingtrading #nyse,1,0
US stocks ended week on a high note http://t.co/QfrLGIdZWp #NYSE,1,0
US stocks ended week on a high note http://t.co/KEQ4GHxNAz #NYSE,1,0
"RT @TreySongz: By the way, record closing for the Dow. Strongest market in 222 years. #AWHFoundation #Treys30Acts #NYSE #FoodBank4NYC #GIVI",1,0
